timestamp,ch1_t,ch1_h,ch3_t,ch3_h,heater,drier,humidifier,setpoint
2026-06-10T16:14:17.350771,21.2,5.3,20.6,39.6,1,1,0,120
2026-06-10T16:14:19.344908,21.2,5.3,20.6,39.5,1,1,0,120
2026-06-10T16:14:21.345067,21.2,5.3,20.6,39.3,1,1,0,120
2026-06-10T16:14:23.350747,21.2,5.3,20.5,39.2,1,1,0,120
2026-06-10T16:14:25.350442,21.2,5.2,20.6,39.1,1,1,0,120
2026-06-10T16:14:27.345638,21.2,5.2,20.6,38.9,1,1,0,120
2026-06-10T16:14:29.350628,21.2,5.2,20.6,38.8,1,1,0,120
2026-06-10T16:14:31.349601,21.2,5.2,20.6,38.7,1,1,0,120
2026-06-10T16:14:33.348771,21.2,5.2,20.7,38.6,1,1,0,120
2026-06-10T16:14:35.349845,21.2,5.2,20.7,38.4,1,1,0,120
2026-06-10T16:14:37.345855,21.2,5.2,20.7,38.3,1,1,0,120
2026-06-10T16:14:39.345109,21.2,5.2,20.8,38.3,1,1,0,120
2026-06-10T16:14:41.349778,21.2,5.2,20.9,38.2,1,1,0,120
2026-06-10T16:14:43.349767,21.2,5.2,20.9,38.1,1,1,0,120
2026-06-10T16:14:45.349309,21.2,5.2,21,38.1,1,1,0,120
2026-06-10T16:14:47.344852,21.2,5.2,21.1,38,1,1,0,120
2026-06-10T16:14:49.349547,21.2,5.2,21.2,38,1,1,0,120
2026-06-10T16:14:51.349948,21.2,5.1,21.3,37.8,1,1,0,120
2026-06-10T16:14:53.345861,21.2,5.2,21.4,37.8,1,1,0,120
2026-06-10T16:14:55.350471,21.2,5.2,21.5,37.8,1,1,0,120
2026-06-10T16:14:57.350643,21.2,5.1,21.7,37.7,1,1,0,120
2026-06-10T16:14:59.344735,21.2,5.1,21.8,37.7,1,1,0,120
2026-06-10T16:15:01.350155,21.2,5.1,21.9,37.7,1,1,0,120
2026-06-10T16:15:03.349776,21.2,5.1,22.1,37.7,1,1,0,120
2026-06-10T16:15:05.349033,21.2,5.2,22.2,37.7,1,1,0,120
2026-06-10T16:15:07.344984,21.2,5.1,22.4,37.7,1,1,0,120
2026-06-10T16:15:09.345162,21.2,5.1,22.5,37.6,1,1,0,120
2026-06-10T16:15:11.349578,21.2,5.1,22.7,37.6,1,1,0,120
2026-06-10T16:15:13.349558,21.2,5.1,22.9,37.6,1,1,0,120
2026-06-10T16:15:15.349669,21.2,5.1,23,37.5,1,1,0,120
2026-06-10T16:15:17.349673,21.2,5.1,23.2,37.5,1,1,0,120
2026-06-10T16:15:19.345184,21.2,5.1,23.4,37.5,1,1,0,120
2026-06-10T16:15:21.345074,21.2,5.1,23.6,37.4,1,1,0,120
2026-06-10T16:15:23.349913,21.2,5.1,23.8,37.3,1,1,0,120
2026-06-10T16:15:25.349090,21.2,5.1,24,37.3,1,1,0,120
2026-06-10T16:15:27.351620,21.2,5.1,24.2,37.4,1,1,0,120
2026-06-10T16:15:29.347393,21.2,5.1,24.4,37.3,1,1,0,120
2026-06-10T16:15:31.350193,21.2,5,24.6,37.3,1,1,0,120
2026-06-10T16:15:33.349101,21.2,5,24.8,37.3,1,1,0,120
2026-06-10T16:15:35.344800,21.2,5.1,25,37.1,1,1,0,120
2026-06-10T16:15:37.343956,21.2,5,25.3,37,1,1,0,120
2026-06-10T16:15:39.349067,21.2,5,25.6,37,1,1,0,120
2026-06-10T16:15:41.345050,21.2,5,25.8,36.8,1,1,0,120
2026-06-10T16:15:43.348428,21.2,5,26,36.7,1,1,0,120
2026-06-10T16:15:45.344944,21.2,5,26.2,36.5,1,1,0,120
2026-06-10T16:15:47.349687,21.3,5,26.5,36.4,1,1,0,120
2026-06-10T16:15:49.345054,21.2,5,26.8,36.3,1,1,0,120
2026-06-10T16:15:51.349799,21.2,5,27,36.1,1,1,0,120
2026-06-10T16:15:53.349410,21.2,5,27.3,36,1,1,0,120
2026-06-10T16:15:55.350084,21.3,5,27.5,35.8,1,1,0,120
2026-06-10T16:15:57.349639,21.2,5,27.8,35.7,1,1,0,120
2026-06-10T16:15:59.350803,21.2,5,28,35.5,1,1,0,120
2026-06-10T16:16:01.345975,21.2,5,28.3,35.4,1,1,0,120
2026-06-10T16:16:03.344650,21.3,5,28.5,35.2,1,1,0,120
2026-06-10T16:16:05.350638,21.3,5,28.8,35.1,1,1,0,120
2026-06-10T16:16:07.344925,21.3,5,29.1,34.9,1,1,0,120
2026-06-10T16:16:09.348528,21.3,5,29.3,34.8,1,1,0,120
2026-06-10T16:16:11.344437,21.3,5,29.6,34.6,1,1,0,120
2026-06-10T16:16:13.350346,21.2,4.9,29.8,34.5,1,1,0,120
2026-06-10T16:16:15.345482,21.3,4.9,30.1,34.4,1,1,0,120
2026-06-10T16:16:17.344972,21.3,5,30.3,34.2,1,1,0,120
2026-06-10T16:16:19.349855,21.3,4.9,30.7,34.1,1,1,0,120
2026-06-10T16:16:21.349805,21.3,5,30.9,33.9,1,1,0,120
2026-06-10T16:16:23.345370,21.3,4.9,31.2,33.8,1,1,0,120
2026-06-10T16:16:25.349730,21.3,5,31.4,33.6,1,1,0,120
2026-06-10T16:16:27.345407,21.3,4.9,31.7,33.4,1,1,0,120
2026-06-10T16:16:29.349886,21.3,4.9,31.9,33.3,1,1,0,120
2026-06-10T16:16:31.349681,21.3,4.9,32.2,33.1,1,1,0,120
2026-06-10T16:16:33.345445,21.3,4.9,32.5,32.9,1,1,0,120
2026-06-10T16:16:35.349097,21.3,4.9,32.7,32.7,1,1,0,120
2026-06-10T16:16:37.350019,21.3,4.9,33,32.6,1,1,0,120
2026-06-10T16:16:39.349499,21.3,4.9,33.3,32.3,1,1,0,120
2026-06-10T16:16:41.349726,21.3,4.9,33.5,32.2,1,1,0,120
2026-06-10T16:16:43.349689,21.3,4.9,33.8,32,1,1,0,120
2026-06-10T16:16:45.347222,21.3,4.9,34,31.8,1,1,0,120
2026-06-10T16:16:47.345134,21.3,4.9,34.3,31.7,1,1,0,120
2026-06-10T16:16:49.345169,21.3,4.9,34.6,31.5,1,1,0,120
2026-06-10T16:16:51.351185,21.3,4.8,34.8,31.3,1,1,0,120
2026-06-10T16:16:53.345312,21.3,4.9,35.1,31.2,1,1,0,120
2026-06-10T16:16:55.350149,21.3,4.9,35.3,31.1,1,1,0,120
2026-06-10T16:16:57.345242,21.3,4.9,35.6,30.9,1,1,0,120
2026-06-10T16:16:59.345304,21.3,4.9,35.8,30.7,1,1,0,120
2026-06-10T16:17:01.349487,21.4,4.9,36.2,30.5,1,1,0,120
2026-06-10T16:17:03.347530,21.3,4.9,36.4,30.3,1,1,0,120
2026-06-10T16:17:05.346962,21.3,4.9,36.6,30.1,1,1,0,120
2026-06-10T16:17:07.345966,21.3,4.8,36.9,30,1,1,0,120
2026-06-10T16:17:09.351502,21.4,4.9,37.2,29.8,1,1,0,120
2026-06-10T16:17:11.350593,21.4,4.9,37.4,29.7,1,1,0,120
2026-06-10T16:17:13.351323,21.4,4.9,37.7,29.4,1,1,0,120
2026-06-10T16:17:15.349663,21.4,4.8,37.9,29.2,1,1,0,120
2026-06-10T16:17:17.352989,21.4,4.8,38.2,29.1,1,1,0,120
2026-06-10T16:17:19.345403,21.4,4.8,38.4,28.9,1,1,0,120
2026-06-10T16:17:21.352435,21.4,4.8,38.7,28.7,1,1,0,120
2026-06-10T16:17:23.351949,21.4,4.8,38.9,28.5,1,1,0,120
2026-06-10T16:17:25.350379,21.4,4.8,39.2,28.4,1,1,0,120
2026-06-10T16:17:27.352155,21.4,4.8,39.5,28.2,1,1,0,120
2026-06-10T16:17:29.345479,21.4,4.8,39.7,28,1,1,0,120
2026-06-10T16:17:31.351386,21.4,4.8,40,27.8,1,1,0,120
2026-06-10T16:17:33.351532,21.4,4.8,40.2,27.6,1,1,0,120
2026-06-10T16:17:35.351397,21.4,4.8,40.5,27.4,1,1,0,120
2026-06-10T16:17:37.353742,21.4,4.8,40.7,27.3,1,1,0,120
2026-06-10T16:17:39.349635,21.4,4.8,41,27.1,1,1,0,120
2026-06-10T16:17:41.350668,21.4,4.8,41.2,26.9,1,1,0,120
2026-06-10T16:17:43.350440,21.5,4.8,41.4,26.7,1,1,0,120
2026-06-10T16:17:45.350001,21.5,4.8,41.7,26.5,1,1,0,120
2026-06-10T16:17:47.344865,21.5,4.8,41.9,26.4,1,1,0,120
2026-06-10T16:17:49.345751,21.5,4.8,42.2,26.3,1,1,0,120
2026-06-10T16:17:51.349986,21.5,4.8,42.4,26.1,1,1,0,120
2026-06-10T16:17:53.344983,21.5,4.8,42.7,25.9,1,1,0,120
2026-06-10T16:17:55.345311,21.5,4.8,43,25.7,1,1,0,120
2026-06-10T16:17:57.350407,21.5,4.8,43.2,25.6,1,1,0,120
2026-06-10T16:17:59.351902,21.5,4.8,43.5,25.4,1,1,0,120
2026-06-10T16:18:01.353597,21.5,4.8,43.7,25.3,1,1,0,120
2026-06-10T16:18:03.349040,21.5,4.8,44,25.1,1,1,0,120
2026-06-10T16:18:05.345538,21.5,4.8,44.2,24.9,1,1,0,120
2026-06-10T16:18:07.352151,21.5,4.8,44.5,24.8,1,1,0,120
2026-06-10T16:18:09.345725,21.5,4.7,44.8,24.6,1,1,0,120
2026-06-10T16:18:11.350041,21.6,4.8,45,24.5,1,1,0,120
2026-06-10T16:18:13.345527,21.5,4.8,45.2,24.3,1,1,0,120
2026-06-10T16:18:15.349862,21.5,4.7,45.5,24.2,1,1,0,120
2026-06-10T16:18:17.349797,21.6,4.8,45.8,24,1,1,0,120
2026-06-10T16:18:19.344664,21.6,4.7,46,23.8,1,1,0,120
2026-06-10T16:18:21.345268,21.6,4.7,46.3,23.7,1,1,0,120
2026-06-10T16:18:23.350632,21.6,4.7,46.5,23.6,1,1,0,120
2026-06-10T16:18:25.350875,21.6,4.7,46.8,23.4,1,1,0,120
2026-06-10T16:18:27.350546,21.6,4.7,47,23.3,1,1,0,120
2026-06-10T16:18:29.345208,21.6,4.7,47.3,23.1,1,1,0,120
2026-06-10T16:18:31.344942,21.6,4.8,47.5,23,1,1,0,120
2026-06-10T16:18:33.350240,21.6,4.7,47.8,22.8,1,1,0,120
2026-06-10T16:18:35.349949,21.6,4.7,48,22.7,1,1,0,120
2026-06-10T16:18:37.345056,21.6,4.7,48.3,22.5,1,1,0,120
2026-06-10T16:18:39.345127,21.6,4.7,48.5,22.4,1,1,0,120
2026-06-10T16:18:41.350477,21.6,4.7,48.8,22.3,1,1,0,120
2026-06-10T16:18:43.352164,21.6,4.7,49,22.2,1,1,0,120
2026-06-10T16:18:45.345279,21.6,4.7,49.3,22,1,1,0,120
2026-06-10T16:18:47.351135,21.7,4.7,49.5,21.8,1,1,0,120
2026-06-10T16:18:49.345678,21.7,4.7,49.8,21.7,1,1,0,120
2026-06-10T16:18:51.344825,21.7,4.7,50,21.6,1,1,0,120
2026-06-10T16:18:53.350721,21.7,4.7,50.2,21.4,1,1,0,120
2026-06-10T16:18:55.348107,21.7,4.7,50.5,21.3,1,1,0,120
2026-06-10T16:18:57.350455,21.7,4.7,50.7,21.2,1,1,0,120
2026-06-10T16:18:59.345498,21.7,4.7,51,21.1,1,1,0,120
2026-06-10T16:19:01.349578,21.7,4.7,51.3,21,1,1,0,120
2026-06-10T16:19:03.346955,21.7,4.7,51.5,20.8,1,1,0,120
2026-06-10T16:19:05.350613,21.7,4.7,51.8,20.7,1,1,0,120
2026-06-10T16:19:07.350145,21.7,4.7,52,20.5,1,1,0,120
2026-06-10T16:19:09.349815,21.7,4.7,52.3,20.5,1,1,0,120
2026-06-10T16:19:11.350101,21.8,4.6,52.5,20.3,1,1,0,120
2026-06-10T16:19:13.350232,21.8,4.6,52.8,20.2,1,1,0,120
2026-06-10T16:19:15.349636,21.8,4.7,53,20.1,1,1,0,120
2026-06-10T16:19:17.349719,21.8,4.7,53.2,20,1,1,0,120
2026-06-10T16:19:19.345891,21.8,4.7,53.5,19.8,1,1,0,120
2026-06-10T16:19:21.345273,21.8,4.7,53.7,19.7,1,1,0,120
2026-06-10T16:19:23.349712,21.8,4.6,54,19.6,1,1,0,120
2026-06-10T16:19:25.350302,21.8,4.6,54.2,19.5,1,1,0,120
2026-06-10T16:19:27.350408,21.8,4.7,54.4,19.4,1,1,0,120
2026-06-10T16:19:29.348988,21.8,4.6,54.7,19.3,1,1,0,120
2026-06-10T16:19:31.350311,21.8,4.7,54.9,19.1,1,1,0,120
2026-06-10T16:19:33.346819,21.8,4.7,55.2,19,1,1,0,120
2026-06-10T16:19:35.350175,21.8,4.7,55.4,19,1,1,0,120
2026-06-10T16:19:37.348686,21.8,4.6,55.7,18.8,1,1,0,120
2026-06-10T16:19:39.345918,21.9,4.7,55.9,18.7,1,1,0,120
2026-06-10T16:19:41.351560,21.9,4.7,56.1,18.7,1,1,0,120
2026-06-10T16:19:43.349494,21.9,4.7,56.4,18.5,1,1,0,120
2026-06-10T16:19:45.349317,21.9,4.6,56.6,18.4,1,1,0,120
2026-06-10T16:19:47.345841,21.9,4.7,56.8,18.3,1,1,0,120
2026-06-10T16:19:49.350424,21.9,4.6,57.1,18.2,1,1,0,120
2026-06-10T16:19:51.349993,21.9,4.6,57.4,18.1,1,1,0,120
2026-06-10T16:19:53.350343,21.9,4.6,57.6,18,1,1,0,120
2026-06-10T16:19:55.348844,21.9,4.6,57.9,17.8,1,1,0,120
2026-06-10T16:19:57.350704,21.9,4.7,58.1,17.8,1,1,0,120
2026-06-10T16:19:59.349997,21.9,4.7,58.3,17.7,1,1,0,120
2026-06-10T16:20:01.349535,21.9,4.6,58.6,17.6,1,1,0,120
2026-06-10T16:20:03.354062,21.9,4.6,58.9,17.5,1,1,0,120
2026-06-10T16:20:05.350739,22,4.6,59.1,17.4,1,1,0,120
2026-06-10T16:20:07.349873,22,4.6,59.4,17.3,1,1,0,120
2026-06-10T16:20:09.350256,22,4.6,59.6,17.2,1,1,0,120
2026-06-10T16:20:11.350242,22,4.6,59.8,17.1,1,1,0,120
2026-06-10T16:20:13.349729,22,4.6,60.1,17,1,1,0,120
2026-06-10T16:20:15.349600,22,4.6,60.3,16.9,1,1,0,120
2026-06-10T16:20:17.350120,22,4.6,60.6,16.8,1,1,0,120
2026-06-10T16:20:19.349537,22,4.6,60.8,16.8,1,1,0,120
2026-06-10T16:20:21.345376,22,4.6,61.1,16.6,1,1,0,120
2026-06-10T16:20:23.349998,22,4.6,61.3,16.6,1,1,0,120
2026-06-10T16:20:25.349650,22,4.6,61.6,16.5,1,1,0,120
2026-06-10T16:20:27.349145,22,4.6,61.8,16.4,1,1,0,120
2026-06-10T16:20:29.346545,22,4.6,62.1,16.3,1,1,0,120
2026-06-10T16:20:31.350388,22,4.6,62.3,16.2,1,1,0,120
2026-06-10T16:20:33.346055,22,4.6,62.5,16.2,1,1,0,120
2026-06-10T16:20:35.345657,22.1,4.6,62.8,16,1,1,0,120
2026-06-10T16:20:37.344952,22,4.6,63,16,1,1,0,120
2026-06-10T16:20:39.346160,22.1,4.6,63.2,15.9,1,1,0,120
2026-06-10T16:20:41.349827,22.1,4.6,63.4,15.9,1,1,0,120
2026-06-10T16:20:43.350024,22.1,4.6,63.6,15.7,1,1,0,120
2026-06-10T16:20:45.349090,22.1,4.6,63.9,15.7,1,1,0,120
2026-06-10T16:20:47.349317,22.1,4.6,64.1,15.6,1,1,0,120
2026-06-10T16:20:49.349503,22.1,4.6,64.3,15.5,1,1,0,120
2026-06-10T16:20:51.346166,22.1,4.6,64.5,15.5,1,1,0,120
2026-06-10T16:20:53.345962,22.1,4.5,64.8,15.4,1,1,0,120
2026-06-10T16:20:55.345985,22.1,4.6,65,15.3,1,1,0,120
2026-06-10T16:20:57.351080,22.1,4.5,65.2,15.2,1,1,0,120
2026-06-10T16:20:59.350663,22.2,4.6,65.4,15.3,1,1,0,120
2026-06-10T16:21:01.347808,22.2,4.6,65.7,15.2,1,1,0,120
2026-06-10T16:21:03.346179,22.2,4.6,65.9,15.1,1,1,0,120
2026-06-10T16:21:05.350900,22.2,4.6,66.1,15.1,1,1,0,120
2026-06-10T16:21:07.347240,22.2,4.5,66.4,14.9,1,1,0,120
2026-06-10T16:21:09.345392,22.2,4.6,66.6,14.9,1,1,0,120
2026-06-10T16:21:11.345928,22.2,4.6,66.9,14.8,1,1,0,120
2026-06-10T16:21:13.346000,22.2,4.5,67.1,14.8,1,1,0,120
2026-06-10T16:21:15.347615,22.2,4.6,67.4,14.7,1,1,0,120
2026-06-10T16:21:17.345976,22.2,4.6,67.6,14.6,1,1,0,120
2026-06-10T16:21:19.345901,22.2,4.6,67.8,14.5,1,1,0,120
2026-06-10T16:21:21.348854,22.2,4.5,68,14.5,1,1,0,120
2026-06-10T16:21:23.345992,22.2,4.6,68.3,14.4,1,1,0,120
2026-06-10T16:21:25.349640,22.2,4.5,68.5,14.3,1,1,0,120
2026-06-10T16:21:27.348320,22.2,4.5,68.7,14.2,1,1,0,120
2026-06-10T16:21:29.349848,22.3,4.5,68.9,14.2,1,1,0,120
2026-06-10T16:21:31.345785,22.3,4.5,69.1,14.1,1,1,0,120
2026-06-10T16:21:33.346329,22.3,4.6,69.3,14.1,1,1,0,120
2026-06-10T16:21:35.348714,22.3,4.6,69.5,14,1,1,0,120
2026-06-10T16:21:37.349721,22.3,4.6,69.6,14,1,1,0,120
2026-06-10T16:21:39.345843,22.3,4.5,69.8,13.9,1,1,0,120
2026-06-10T16:21:41.345698,22.3,4.6,69.9,13.9,1,1,0,120
2026-06-10T16:21:43.346095,22.3,4.6,70.1,13.8,1,1,0,120
2026-06-10T16:21:45.346118,22.3,4.6,70.3,13.8,1,1,0,120
2026-06-10T16:21:47.346265,22.3,4.6,70.4,13.7,1,1,0,120
2026-06-10T16:21:49.346044,22.3,4.6,70.5,13.7,1,1,0,120
2026-06-10T16:21:51.346339,22.4,4.5,70.6,13.8,1,1,0,120
2026-06-10T16:21:53.349271,22.4,4.6,70.7,13.7,1,1,0,120
2026-06-10T16:21:55.348625,22.4,4.5,70.8,13.7,1,1,0,120
2026-06-10T16:21:57.348576,22.4,4.6,70.9,13.7,1,1,0,120
2026-06-10T16:21:59.346215,22.4,4.6,71,13.7,1,1,0,120
2026-06-10T16:22:01.345952,22.4,4.6,71,13.7,1,1,0,120
2026-06-10T16:22:03.346091,22.4,4.6,71.1,13.7,1,1,0,120
2026-06-10T16:22:05.346248,22.4,4.6,71.1,13.7,1,1,0,120
2026-06-10T16:22:07.348930,22.4,4.6,71.1,13.8,1,1,0,120
2026-06-10T16:22:09.345821,22.4,4.6,71.1,13.7,1,1,0,120
2026-06-10T16:22:11.346276,22.4,4.5,71.1,13.7,1,1,0,120
2026-06-10T16:22:13.346205,22.4,4.6,71.2,13.7,1,1,0,120
2026-06-10T16:22:15.349926,22.5,4.5,71.2,13.7,1,1,0,120
2026-06-10T16:22:17.346163,22.4,4.6,71.2,13.7,1,1,0,120
2026-06-10T16:22:19.349001,22.5,4.6,71.2,13.7,1,1,0,120
2026-06-10T16:22:21.346002,22.5,4.6,71.2,13.7,1,1,0,120
2026-06-10T16:22:23.349358,22.5,4.5,71.2,13.6,1,1,0,120
2026-06-10T16:22:25.347398,22.5,4.6,71.2,13.7,1,1,0,120
2026-06-10T16:22:27.346548,22.5,4.5,71.3,13.6,1,1,0,120
2026-06-10T16:22:29.345965,22.5,4.6,71.3,13.6,1,1,0,120
2026-06-10T16:22:31.346004,22.5,4.6,71.3,13.6,1,1,0,120
2026-06-10T16:22:33.345992,22.5,4.6,71.3,13.5,1,1,0,120
2026-06-10T16:22:35.346282,22.5,4.6,71.4,13.5,1,1,0,120
2026-06-10T16:22:37.348848,22.5,4.5,71.4,13.6,1,1,0,120
2026-06-10T16:22:39.349869,22.5,4.6,71.4,13.5,1,1,0,120
2026-06-10T16:22:41.346449,22.5,4.5,71.5,13.5,1,1,0,120
2026-06-10T16:22:43.345616,22.6,4.5,71.5,13.5,1,1,0,120
2026-06-10T16:22:45.346479,22.6,4.5,71.6,13.5,1,1,0,120
2026-06-10T16:22:47.346237,22.6,4.6,71.7,13.4,1,1,0,120
2026-06-10T16:22:49.346047,22.6,4.5,71.7,13.4,1,1,0,120
2026-06-10T16:22:51.346517,22.6,4.6,71.8,13.3,1,1,0,120
2026-06-10T16:22:53.346465,22.6,4.5,71.9,13.4,1,1,0,120
2026-06-10T16:22:55.349409,22.6,4.6,72,13.3,1,1,0,120
2026-06-10T16:22:57.346565,22.6,4.5,72.1,13.3,1,1,0,120
2026-06-10T16:22:59.348353,22.6,4.6,72.2,13.3,1,1,0,120
2026-06-10T16:23:01.346177,22.6,4.6,72.3,13.2,1,1,0,120
2026-06-10T16:23:03.346305,22.6,4.6,72.4,13.2,1,1,0,120
2026-06-10T16:23:05.348872,22.6,4.5,72.5,13.2,1,1,0,120
2026-06-10T16:23:07.346774,22.7,4.6,72.6,13.1,1,1,0,120
2026-06-10T16:23:09.346818,22.6,4.5,72.7,13.2,1,1,0,120
2026-06-10T16:23:11.346486,22.7,4.6,72.9,13.1,1,1,0,120
2026-06-10T16:23:13.350434,22.7,4.6,73,13.1,1,1,0,120
2026-06-10T16:23:15.350194,22.7,4.6,73.1,13.1,1,1,0,120
2026-06-10T16:23:17.346345,22.7,4.6,73.3,13.2,1,1,0,120
2026-06-10T16:23:19.346654,22.7,4.6,73.4,13,1,1,0,120
2026-06-10T16:23:21.346097,22.7,4.5,73.5,13,1,1,0,120
2026-06-10T16:23:23.346033,22.7,4.6,73.6,13,1,1,0,120
2026-06-10T16:23:25.345793,22.7,4.6,73.8,13,1,1,0,120
2026-06-10T16:23:27.349169,22.7,4.6,73.9,13,1,1,0,120
2026-06-10T16:23:29.347652,22.7,4.5,74.1,12.9,1,1,0,120
2026-06-10T16:23:31.347681,22.7,4.6,74.2,12.9,1,1,0,120
2026-06-10T16:23:33.347821,22.7,4.5,74.3,12.8,1,1,0,120
2026-06-10T16:23:35.349324,22.8,4.6,74.5,12.8,1,1,0,120
